Phloeospora platanoidis
Phloeospora pseudoplatani
Pholiota adiposa
Pholiota aurivella
Pholiota connata
Pholiota flammans
Pholiota fulvosquamosa
Pholiota lubrica
Pholiota squarrosoadiposa
Pholiota squarrosoides
Pholiota stratosa
Pholiotina blattaria
Phoma aceris-negundinis
Phoma fraxinifolii
Phoma fumosa
Phoma pennsylvanica
Phoma protracta
Phoma negundinicola
Phomatodes nebulosa
Phomopsis acerina
Phomopsis platanoidis
Phomopsis theicola
Phragmotrichum rivoclarinum
Phyllactinia guttata
Phyllactinia marissalii
Phyllosticta acericola
Phyllosticta acerina
Phyllosticta aceris
Phyllosticta arida
Phyllosticta campestris
Phyllosticta capitalensis
Phyllosticta hesleri
Phyllosticta minima
Phyllosticta minutella
Phyllosticta minutissima
Phyllosticta negundinis
Phyllosticta pseudoplatani
Phyllosticta rubella
Phyllosticta rubra
Phyllosticta saccharina
Phyllosticta tambowiensis
Phyllosticta negundinicola
Phyllotopsis nidulans
Phymatotrichopsis omnivora
Physalacria inflata
Physalospora abdita
Physalospora gregaria
Physarum nutans
Picipes melanopus
Piggotia negundinis
Pilidium acerinum
Pilidium concavum
Pilidium lythri
Piloderma sphaerosporum
Pirex concentricus
Plagiostoma acerophilum
Plagiostoma barriae
Plagiostoma bavaricum
Plagiostoma inclinatum
Plagiostoma petiolophilum
Plagiostoma pseudobavaricum
Plectosphaera rhytismophila
Pleospora platanoidis
Pleospora pseudoplatani
Pleospora pygmaea
Pleospora turkestanica
Pleotrichocladium opacum
Pleuroceras pseudoplatani
Pleuroceras tenellum
Pleurophomopsis salicina
Pleurothecium recurvatum
Pleurotus cornucopiae
Pleurotus cystidiosus
Pleurotus dryinus
Pleurotus ostreatus
Pleurotus septicus
Pleurotus subareolatus
Plicatura nivea
Plicaturopsis crispa
Pluteus admirabilis
Pluteus aurantiorugosus
Pluteus plautus
Pluteus romellii
Pluteus umbrosus
Podofomes mollis
Podosphaera fuliginea
Polyozellus tristis
Polyporus albellus
Polyporus badius
Polyporus cinnabarinus
Polyporus compactus
Polyporus cuticularis
Polyporus durescens
Polyporus hirsutulus
Polyporus lepideus
Polyporus obtusus
Polyporus picipes
Polyporus velutinus
Poriella subacida
Porodaedalea pini
Poronidulus conchifer
Porostereum spadiceum
Porotheleum perenne
Propolis farinosa
Prosthecium acerinum
Prosthecium appendiculatum
Prosthecium platanoidis
Prosthecium pyriforme
Prosthemium asterosporum
Psathyrella incerta
Pseudocercospora acericola
Pseudoinonotus dryadeus
Pseudolachnea hispidula
Pseudosclerophoma negundinis
Pseudospongipellis delectans
Pseudotrichia mutabilis
Pseudovalsa stylospora
Pseudovalsaria allantospora
Pulveria porrecta
Pycnopeziza americana
Pycnopeziza sympodialis
Pyrenopeziza leucodermis
Pyrenopeziza petiolaris
Pyrigemmula aurantiaca
Quaternaria dissepta
Radulomyces confluens
Ramaria stricta
Ramichloridium anceps
Ramularia lethalis
Ramularia unterseheri
Ramularia vizellae
Rebentischia massalongoi
Repetophragma ontariense
Resinicium bicolor
Reticularia lycoperdon
Rhizochaete americana
Rhizochaete filamentosa
Rhizoctonia anceps
Rhizoctonia fusispora
Rhizoctonia solani
Rhodofomes cajanderi
Rhodotus palmatus
Rhynchostoma tinctum
Rhytisma acerinum
Rhytisma americanum
Rhytisma punctatum
Rigidonotus glomeratus
Rigidoporus ulmarius
Rosellinia akulovii
Rosellinia aquila
Rosellinia corticium
Rosellinia glandiformis
Rosellinia mammiformis
Rosellinia quercina
Rosellinia subsimilis
Ruzenia spermoides
Saccosoma farinaceum
Sarcodontia spumea
Sarcomyxa serotina
Sarocladium bacillisporum
Sawadaea bicornis
Sawadaea tulasnei
Schizophyllum commune
Schizopora paradoxa
Schizothyrium pomi
Schizoxylon compositum
Sclerotinia sclerotiorum
Sclerotiomyces colchicus
Sclerotiopsis protracta
Scopuloides hydnoides
Scutellinia scutellata
Scytinostroma portentosum
Scytinostromella olivaceoalba
Sebacina grisea
Septobasidium castaneum
Septobasidium cokeri
Septobasidium fumigatum
Septobasidium pseudopedicellatum
Septogloeum hercynicum
Septomyxa tulasnei
Septoria acerella
Septoria acerina
Septoria aceris-macrophylli
Septoria apatela
Septoria belonidium
Septoria circinata
Septoria crassispora
Septoria crassospora
Septoria curvispora
Septoria incondita
Septoria macrophylli
Septoria marginata
Septoria negundinis
Septoria saccharina
Septoria saccharini
Septoria salliae
Septoria samarae
Septoria samarae-macrophylli
Septoria schirajewskii
Septoria seminalis
Sistotrema brinkmannii
Skeletocutis semipileata
Sphaerella brunnea
Sphaeronaema canum
Sphaeronaema nigripes
Sphaeropsis albescens
Sphaeropsis amplispora
Sphaeropsis lineata
Sphaeropsis negundinis
Sphaerulina aceris
Sphaerulina neoaceris
Splanchnonema pupula
Spongipellis spumeus
Spongiporus floriformis
Spongiporus perdelicatus
Sporidesmium bacidiicola
Sporobolomyces roseus
Sporothrix prolifera
Stachybotrys chartarum
Stachycoremium parvulum
Stagonospora collapsa
Steccherinum ciliolatum
Steccherinum fimbriatum
Steccherinum ochraceum
Stegonosporium pyriforme
Stegonsporium acerophilum
Stegonsporium cellulosum var. majus
Stegonsporium galeatum
Stegonsporium ovatum
Stegonsporium protopyriforme
Stegonsporium pseudopyriforme
Stegonsporium ovatum
Stemonitis fusca
Stemphylium vesicarium
Stereum complicatum
Stereum hirsutum
Stereum ochraceoflavum
Stereum ostrea
Stereum rugosum
Stictis radiata
Stilbella acerina
Stilbella albocitrina
Stilbella aleuriata
Stilbospora macrosperma
Strickeria gelmiana
Strickeria negundinis
Stromatocrea cerebriformis
Strossmayeria bakeriana
Strossmayeria basitricha
Stylonectria purtonii
Subulicystidium longisporum
Synchaetomella acerina
Synchytrium vaccinii
Takamatsuella circinata
Talaromyces funiculosus
Tapesia fusca
Taphrina acericola
Taphrina acerina
Taphrina carveri
Taphrina cerasi
Taphrina darkeri
Taphrina dearnessii
Taphrina pseudoplatani
Taphrina sacchari
Taphrina letifera
Teichospora ampullacea
Teichospora clavispora
Teichospora megastega
Teichospora winteriana
Tetracladium marchalianum
Tetragoniomyces uliginosus
Thaxteriella pezizula
Thelephora albidobrunnea
Thelonectria gongylodes
Thelonectria veuillotiana
Thyridaria triseptata
Thyridium vestitum
Thyronectria coryli
Thyronectria pyrrhochlora
Thyrsidina carneominiata
Thysanorea obscura
Tilletiopsis washingtonensis
Titaea complexa
Tomentella coerulea
Tomentella lapida
Tomentella stuposa
Tomentella umbrinospora
